account	year	gfcf	volume
332	2010	1848.3180196009553	1850.8956160547068
332	2011	2047.9103144609037	2075.1119131264422
332	2012	2193.230223310517	2197.3718329572553
332	2013	2215.888290020938	2259.8177842457753
332	2014	2341.3635559942277	2396.7133222655743
332	2015	2504.4790575583847	2546.260354844542
332	2016	2337.27209129283	2370.1563211075613
332	2017	2480.656360903439	2480.656360903439
332	2018	2719.3302887605714	2673.7609550542616
332	2019	2788.9267279795513	2637.0718502397785
332	2020	2547.391462522064	2490.0267661423018
332	2021	2797.2936110507985	2680.3216978224264
332	2022	3207.9784570359097	3015.8072585981054
332	2023	3473.3276066197454	3288.687988647985
333	1997	1401.775679690529	1630.562021377087
333	1998	1488.1317348109606	1665.4698176185138
333	1999	1553.5575236858292	1682.2730472306157
333	2000	1720.7659707270552	1709.0451818786266
333	2001	1689.7149142412586	1589.4930681608914
333	2002	1649.1246713370133	1585.1737890969036
333	2003	1690.649869518005	1604.1631116969415
333	2004	1743.1604893158462	1658.2883931285235
333	2005	1814.6529546310483	1733.4686009155369
333	2006	1926.957081305184	1840.0033108166638
333	2007	2066.870052712826	1982.9195328868482
333	2008	2089.2210390839914	1974.4060567776683
333	2009	1851.8233555161166	1828.861349354639
333	2010	1973.3292492989376	1976.0811818241505
333	2011	2326.3652663809034	2357.2654742067534
333	2012	2528.824479134591	2533.5998117678796
333	2013	2585.5202660657883	2636.777632291259
333	2014	2787.6452622304296	2853.5451150392196
333	2015	3338.821629393785	3394.5219550412075
333	2016	2779.742564283982	2818.8521286561595
333	2017	3088.9887602490194	3088.9887602490194
333	2018	3391.4976357350247	3334.664419054527
333	2019	3656.6609462058595	3457.558619367688
333	2020	3347.4352643485713	3272.0543853531804
333	2021	3607.230370771934	3456.3900598879504
333	2022	3972.730058777781	3734.7470714572805
333	2023	4348.797617471237	4117.618638213408
334	1997	4361.804087649309	5073.702014560888
334	1998	4823.5728596358595	5398.389687474714
334	1999	5389.414417620993	5835.938790093596
334	2000	6454.071666936954	6410.110540027389
334	2001	6408.548147351496	6028.43874510308
334	2002	5029.242926974882	4834.21551166181
334	2003	5727.866883800039	5434.852555438997
334	2004	6425.136212185501	6112.3051321102
334	2005	6916.1587796745125	6606.742106206006
334	2006	7285.446769443989	6956.691618412042
334	2007	7507.890945464373	7202.9412719998
334	2008	7502.4155507473415	7090.113696324409
334	2009	7154.196647631526	7065.486940512862
334	2010	7677.667743161993	7688.374736730193
334	2011	8244.766455499532	8354.278491563786
334	2012	8506.507505044996	8522.57085907345
334	2013	8132.17393688977	8293.392482790656
334	2014	8971.438702576294	9183.5232522115
334	2015	9682.53071502572	9844.060791736058
334	2016	10231.073189956916	10375.019187208696
334	2017	10689.533857049357	10689.533857049357
334	2018	11563.304512011959	11369.531771630462
334	2019	12302.50029832101	11632.638784946475
334	2020	13223.559651426194	12925.778373745099
334	2021	13656.24814783879	13085.197090822981
334	2022	14127.204313493072	13280.926254005062
334	2023	16024.355195451399	15172.511903763927
335	1997	458.4116424456128	533.2298349575647
335	1998	488.9925750305517	547.264973726533
335	1999	527.9709112882117	571.7144169046944
335	2000	619.5378593518445	615.3179523124218
335	2001	617.7862275007535	581.1435514603678
335	2002	582.2202250124272	559.6424916883647
335	2003	594.7947329498651	564.3674582377184
335	2004	648.1664180732233	616.6080831308715
335	2005	693.8108748650841	662.7710072512967
335	2006	724.5748709077111	691.878492956219
335	2007	767.7544207203645	736.5703689539897
335	2008	768.6739745709568	726.4308192807008
335	2009	750.0552049217488	740.7547647984729
335	2010	781.7160522335861	782.8062047412766
335	2011	866.953253286186	878.4686572036089
335	2012	910.8725460766667	912.5926019484513
335	2013	974.6785810192852	994.0013678622781
335	2014	997.3634509110527	1020.941093842319
335	2015	1007.9938186885984	1024.8098065381018
335	2016	1057.6705875022694	1072.5514748398102
335	2017	1163.407559576428	1163.407559576428
335	2018	1209.0796961264514	1188.8184735827856
335	2019	1272.2763909665696	1203.0019371549429
335	2020	1205.281573567478	1178.139843473365
335	2021	1478.6139152085473	1416.784045828812
335	2022	1493.0879002993163	1403.6457500429146
335	2023	1611.5935075203581	1525.92234624343
3361MV	1997	888.52015612421	1033.537136358384
3361MV	1998	1026.9912603477105	1149.3760310705197
3361MV	1999	1142.0394490629164	1236.6598305768096
3361MV	2000	1304.9194209313982	1296.0311204552518
3361MV	2001	1187.0606324253454	1116.6526559150486
3361MV	2002	955.0495220665497	918.0139597584354
3361MV	2003	1069.6745285147542	1014.9543386262402
3361MV	2004	995.7879275497693	947.3043775340448
3361MV	2005	1007.1347041770889	962.0772843247598
3361MV	2006	1023.4330178070387	977.250692002205
3361MV	2007	1083.70671291927	1039.6895567516326
3361MV	2008	960.9391990015603	908.1299389630965
3361MV	2009	613.4801166014801	605.8731630681499
3361MV	2010	823.4854921605013	824.633894795653
3361MV	2011	960.8804442850868	973.6434466619211
3361MV	2012	1088.4274781962797	1090.4828218148205
3361MV	2013	1176.6542623568114	1199.9811723168552
3361MV	2014	1315.3138017029576	1346.4077816666208
3361MV	2015	1371.6908806711565	1394.5742920125572
3361MV	2016	1591.577753292723	1613.9704429595663
3361MV	2017	1669.8623560310912	1669.8623560310912
3361MV	2018	1647.6759636732133	1620.0649389518612
3361MV	2019	1455.1072092747158	1375.8777604886036
3361MV	2020	1336.7800608705104	1306.6771169584524
3361MV	2021	1467.1774728372832	1405.8258308911675
3361MV	2022	1859.394847490286	1748.0093936922433
3361MV	2023	2621.9548287265043	2482.5735803258053
3364OT	1997	855.0772316606331	994.6359317618468
3364OT	1998	941.3852510914523	1053.5685018794431
3364OT	1999	988.8662641812183	1070.7959236687434
