account	component	year	tot_emp	labor	gfcf
561	43-4031	2022	8.081198780222475e-5	32.6471727199299	71.30716918382049
561	43-4031	2023	8.0645067034751e-5	33.452523335683566	73.40773854123167
561	43-4061	2000	4.855461467791758e-6	1.223799211483168	2.0395064948565302
561	43-4061	2001	3.6000686062305047e-6	0.93550963812732	1.5970916988943793
561	43-4061	2004	1.3908708798927361e-6	0.3767623403228114	0.6945571792032825
561	43-4061	2005	1.3915657201700496e-6	0.41501735557257063	0.7748041963686041
561	43-4061	2007	3.2144749090946494e-6	1.275294788301498	2.4334558093902117
561	43-4061	2008	3.23770030032908e-6	1.2724056274023627	2.4546343507057715
561	43-4061	2009	6.1875980734294634e-6	2.0390988929813707	3.9607281802600447
561	43-4061	2012	4.4461651483582705e-6	1.5049653193500259	3.036327562462786
561	43-4061	2014	1.9650948443518103e-5	7.174189203154068	14.941894173110434
561	43-4061	2015	3.01195561975597e-5	12.9961170937353	27.396041913473855
561	43-4061	2016	3.761647565521882e-5	17.02261190120373	36.42668428609481
561	43-4061	2017	2.685871690287763e-5	13.736778505866095	29.712697182650206
561	43-4061	2018	2.2083679103614135e-5	10.060492675755464	21.92664773926739
561	43-4061	2019	1.7997458758823255e-5	7.823597316130883	17.11606595529407
561	43-4061	2020	1.5700518693870646e-5	6.812586532455423	14.892345468355492
561	43-4061	2021	1.9712031854643472e-5	9.49095391675315	20.657132661700643
561	43-4061	2022	2.7915821997207263e-5	15.147848363348569	33.085565947239374
561	43-4071	1997	0.0036485914809882307	463.11185679840577	703.7714474233003
561	43-4071	1998	0.0036485914809882307	513.6559160703464	800.009200669531
561	43-4071	1999	0.0036485914809882307	551.0964662504214	882.9807826301069
561	43-4071	2000	0.0031857894384054275	542.5600160596581	904.1962653841402
561	43-4071	2001	0.002744907617185625	485.76080809666587	829.2854746129575
561	43-4071	2002	0.002886220628932704	534.6390285271918	947.2611891379097
561	43-4071	2003	0.002716432741274376	510.09036422279803	925.3889688679593
561	43-4071	2004	0.0022782465012643016	472.08706255058826	870.2872432063182
561	43-4071	2005	0.0020908970728415075	467.95966380292043	873.6432497998101
561	43-4071	2006	0.0018887434074472903	432.6791078331014	817.628463096537
561	43-4071	2007	0.0017346592399438369	415.92012486366747	793.6386578038092
561	43-4071	2008	0.001686000054393365	405.29274689677345	781.8619135280892
561	43-4071	2009	0.0017196572565675167	383.2552416120842	744.4316903462819
561	43-4071	2010	0.0014394568989568126	344.02479067811686	671.1588938358832
561	43-4071	2011	0.0012896606361286803	333.87953799849674	665.602580043616
561	43-4071	2012	0.0011352085661869822	315.8026339697243	637.1444108989488
561	43-4071	2013	0.0010834211035972102	316.88816750812646	648.7701495777136
561	43-4071	2014	0.001060580704543553	334.72427946613493	697.1400696757207
561	43-4071	2015	0.0009919168946122877	328.85599108128275	693.2341752678352
561	43-4071	2016	0.000853683345109798	297.61259535734	636.8611417311641
561	43-4071	2017	0.0007195637644677915	265.9201181938739	575.1860920881145
561	43-4071	2018	0.0006264922035281633	250.74908084922018	546.5027353954181
561	43-4071	2019	0.0006111936994496377	250.94609253180087	549.0070229128056
561	43-4071	2020	0.0005600278892479003	222.31767661257615	485.98746277404206
561	43-4071	2021	0.0004069302575992963	174.69378221706037	380.2223323476617
561	43-4071	2022	0.00042788911490152334	213.7283361622781	466.82028967232264
561	43-4071	2023	0.0004254903862898711	199.1398478870884	436.98963274446567
561	43-4111	1997	0.0002500914185854143	36.20532448095706	55.01969608496777
561	43-4111	1998	0.0002500914185854143	40.1567760356123	62.54340560017199
561	43-4111	1999	0.0002500914185854143	43.08381676695174	69.02998762886021
561	43-4111	2000	0.0003231789507076767	62.643440630586014	104.39760283175903
561	43-4111	2001	0.0002908481580555908	59.04220011013099	100.79619047977958
561	43-4111	2002	0.0002011444685271155	42.47569117382045	75.2574570577228
561	43-4111	2003	0.00021239597565519814	43.678071506971754	79.23930422712951
561	43-4111	2004	0.00012851646930208882	30.010357947245843	55.323760715735936
561	43-4111	2005	0.00011209061875969747	27.933927328637978	52.15040726531676
561	43-4111	2006	8.382178387440193e-5	22.66634408660342	42.83231555218859
561	43-4111	2007	0.00010376325006557529	29.45576519373172	56.20606591373793
561	43-4111	2008	0.00010179329744234629	30.405246758799176	58.655637422949674
561	43-4111	2010	0.00017492246580155083	49.496147354451566	96.56216763353348
561	43-4111	2011	0.00021992198830257458	66.00238879048294	131.5784744741832
561	43-4111	2012	0.00014426095842903989	45.50775042620697	91.81370171669228
561	43-4111	2013	0.00015778749956888664	51.35561225902324	105.14115597606573
561	43-4111	2014	0.0001675401830200592	56.353306784493135	117.368684102802
561	43-4111	2015	0.0001917816639518087	66.59734801024538	140.38837325452985
561	43-4111	2016	0.00022461549943244262	80.56090741444476	172.39227195092076
561	43-4111	2017	0.0002490365216087747	96.24667292931376	208.18187076140612
561	43-4111	2018	0.00025082082857963997	104.56409952796209	227.89541729388054
561	43-4111	2019	0.00021362983546723203	89.60588398342088	196.03516876826467
561	43-4111	2020	0.00017648664686906022	70.34416283552137	153.77266323709514
561	43-4111	2021	0.0002175099514960816	98.97036873131827	215.40975273849756
561	43-4111	2022	0.00018424442518156798	92.71122765729223	202.49763287350385
561	43-4111	2023	0.00012429859245138798	61.607871453515145	135.19143158080806
561	43-5041	1997	1.2545258005974874e-5	1.8444566966704163	2.8029426154174133
561	43-5041	1998	1.2545258005974874e-5	2.045760824890176	3.186233100948632
561	43-5041	1999	1.2545258005974874e-5	2.1948770103061004	3.516687801544087
561	43-5041	2000	2.9218325685923618e-5	5.923789364046483	9.872213324514801
561	43-5041	2001	4.35656763815898e-5	9.157744361276198	15.633999804928257
561	43-5041	2002	7.919782205989335e-5	17.390806714044047	30.812633139398756
561	43-5041	2004	0.00010932245115956906	26.9115564503426	49.611154660799734
561	43-5041	2005	0.00012294483137702386	32.20013191466513	60.11506987866816
561	43-5041	2006	0.00010911108119903901	30.0770380713529	56.83621410780524
561	43-5041	2007	0.00010376325006557529	31.946030199422143	60.95786910513139
561	43-5041	2008	8.159004756829282e-5	25.692916030298424	49.56494446391378
561	43-5041	2009	8.291381418395482e-5	23.51446937854139	45.67430340530407
561	43-5041	2010	8.325423688782672e-5	24.08959167458532	46.996449498315805
561	43-5041	2011	0.00011299141524994481	34.73266563541706	69.24099631056131
561	43-5041	2012	0.00010978607789407729	36.01201946884276	72.6556857405977
561	43-5041	2013	0.00011082930297587622	35.85422079497063	73.40491243665304
561	43-5041	2014	0.00010535443971976479	38.8000331772354	80.80996656633269
561	43-5041	2015	8.888342502381903e-5	33.88927548663247	71.43918486980932
561	43-5041	2016	0.00010129364564437325	41.20252063546838	88.1692668369759
561	43-5041	2017	0.00012255070363592074	50.50270230311938	109.23751153134774
561	43-5041	2019	0.00010438526080117487	46.53312655106204	101.80279364734871
561	43-5041	2020	8.074552471133475e-5	32.75773190734805	71.60855249322897
561	43-5041	2021	5.8396894369381304e-5	25.292898112707743	55.05018318451823
561	43-5041	2022	4.38594976533442e-5	20.561633786960215	44.910225817118786
561	43-5041	2023	2.48947815629014e-5	12.597450323098707	27.643664734186423
561	43-6012	1997	0.00042381702571554785	96.30734759571715	146.3541915845202
561	43-6012	1998	0.00042381702571554785	106.81833800493112	166.36750503710616
561	43-6012	1999	0.00042381702571554785	114.60436210998225	183.6220254453844
561	43-6012	2000	0.00037580055723846867	122.78088051436782	204.61886304843478
561	43-6012	2001	0.00034963958613162105	119.03223392179635	203.21051216308487
