account	year	volume	netstock	cfc	current_cost_netstock
485	2016	232.1025360880186	480.19552173515206	179.54600584303378	473.5331510922886
485	2017	240.3097754341008	520.3884940185187	200.11680315073414	520.3884940185187
485	2018	248.86859704682666	554.3161602180347	218.60420335729728	563.763458801712
485	2019	337.38644905172146	650.6994810217911	254.8812107020591	688.169787387131
485	2020	259.7383585511009	650.2482861404449	266.18374391135603	665.2285650728264
485	2021	362.23567274031626	735.3619180438935	289.2159232020982	767.4538458668718
485	2022	367.771134339873	796.7172239791566	325.94104733129933	847.4850916244142
485	2023	750.2598599574891	1156.3613659506786	412.5463897893278	1221.283949541289
486	1997	138.89595759934693	416.6878727980408	0.0	358.2218391281871
486	1998	139.11094035182927	393.71769882521835	144.82282854271793	351.79490854799525
486	1999	149.42575136549988	386.9999253547288	144.1965370503392	357.3894539239287
486	2000	174.48462721987946	403.40380625305215	159.1648786009616	406.1703866125877
486	2001	164.92683137698904	406.374896982859	172.1674890568524	431.9979356686865
486	2002	110.54615511314745	363.03839391619556	160.09076723368227	377.6845013257812
486	2003	104.9944875239138	329.52100221405857	145.97960072308214	347.28677859155806
486	2004	131.8513305302827	329.5567769179413	138.56194721371318	346.423670870564
486	2005	134.85568533496698	332.08425572443343	138.52559592432152	347.63691451839475
486	2006	144.2116243612967	341.5658574507029	141.09701306229968	357.70737143651246
486	2007	139.294488056141	343.78931168058614	142.87418637579452	358.3442600521836
486	2008	150.95548198063042	354.98910943758284	147.88270873121277	375.63231410113247
486	2009	154.7278658362332	365.5992944885829	145.92712964002797	370.1895239532937
486	2010	176.24386384916897	390.6027495333628	151.02978820643824	390.05878786783745
486	2011	204.9902533288431	431.22704412961116	162.21136802573287	425.5743056368387
486	2012	242.87047098754763	489.87675524269713	183.87354031663256	488.95343481745283
486	2013	239.65755546692853	526.2991330509052	199.28440843056242	516.0681954562563
486	2014	251.74413109525543	560.6528646133164	212.36997940499873	547.7051312622228
486	2015	293.0206871703464	617.9524823841664	231.85314911457635	607.8125702082224
486	2016	259.18358779557366	627.9546447524224	245.7242107337799	619.2422215812713
486	2017	306.67919053138417	674.2024219444352	260.4314133393715	674.2024219444352
486	2018	313.53581181406685	710.7481244746792	281.71089582214125	722.8615179342164
486	2019	276.51469318339934	704.2609939692857	299.29838661046193	744.8156216812205
486	2020	267.78443772427295	692.6610274164179	285.82080156512194	708.6184018800652
486	2021	193.1896876887431	622.765424684898	274.5665949919127	649.943529192672
486	2022	320.0041813039451	681.847100876553	277.54882974357025	725.2952934469561
486	2023	338.2560287771301	736.4447578986437	299.5840459376101	777.7916047947557
487OS	1997	713.5762694587706	2140.728808376312	0.0	1840.3602813344478
487OS	1998	764.7980044288228	2064.4842092748936	751.4889644959432	1844.6593479737219
487OS	1999	781.1713827482853	2027.2989584735003	755.7418263356535	1872.184515398229
487OS	2000	886.7102658578729	2090.457860530561	829.199354704326	2104.7944125653544
487OS	2001	906.8521614689818	2149.348708244526	901.4275728860442	2284.870969854612
487OS	2002	757.820843907669	2064.4165087527417	876.7523443004839	2147.701545354942
487OS	2003	854.1502472239592	2088.069545188461	875.2725896862944	2200.6456066571845
487OS	2004	977.7741884291939	2206.8581871499687	902.9488909772533	2319.8063818715236
487OS	2005	1046.8299992162943	2343.597124113558	952.7137868132925	2453.355915123792
487OS	2006	1068.9507429986024	2453.190368574541	1004.6942385607973	2569.1217644691505
487OS	2007	1227.5041640256904	2658.380382404436	1065.5956867942282	2770.9277708872787
487OS	2008	917.3919306376139	2536.746863800969	1099.446499997545	2684.26289541114
487OS	2009	1220.706009961395	2708.419584168475	1062.2042764856774	2742.42475749749
487OS	2010	1144.9619463259594	2759.74801138395	1092.110501898649	2755.904727826689
487OS	2011	1206.0964611728546	2844.912391900012	1106.2383456362963	2807.6198658277717
487OS	2012	1228.01580433288	2919.9547648774087	1150.8003053446223	2914.4512298630457
487OS	2013	1565.4793800092957	3251.2026599260194	1210.2387695883758	3188.0012418875012
487OS	2014	1665.442329085183	3555.3370475216657	1329.8698568071566	3473.2299916764696
487OS	2015	1871.1376787410286	3929.506097298635	1472.4050405643902	3865.027277555543
487OS	2016	1941.7690202777503	4237.811581763883	1610.800393374479	4179.014966230466
487OS	2017	2057.786054548876	4540.029433299986	1755.5682030127737	4540.029433299986
487OS	2018	1927.811962378163	4633.1962575151265	1865.9132873876458	4712.160559086822
487OS	2019	2099.8112167198656	4838.640185609973	2003.4537789996457	5117.271620603201
487OS	2020	2245.6192798096013	5097.109523581317	2032.9294710483869	5214.535626870815
487OS	2021	2264.7064164209355	5285.328362738324	2167.107566985625	5515.985366012205
487OS	2022	2719.960002979002	5790.185577641385	2356.252046283296	6159.143805479154
487OS	2023	2677.968077896367	6091.763783341229	2509.8095580009854	6433.778879213166
493	1997	283.1917045980422	849.5751137941265	0.0	730.3700914002261
493	1998	296.1010567387697	813.1342898117259	297.13304955745946	726.5523088626585
493	1999	278.97852051402543	774.5716269695051	293.2451989855668	715.3069358704928
493	2000	325.08224519423254	787.2829556415306	314.5131849617825	792.68221447031
493	2001	349.79173847409095	816.3484191560963	340.9489358863293	867.8213995996522
493	2002	361.7619183831972	845.7005447567285	345.82024636179545	879.8187571067737
493	2003	387.9229934095759	887.069524345799	365.2381070069558	934.8949397060766
493	2004	452.1672908552924	968.185758609943	390.0416502031555	1017.738028994538
493	2005	428.5721778110174	1002.60065391581	412.61703667983966	1049.5559238756553
493	2006	426.6653213639276	1023.9548704138131	424.4650534386137	1072.3443142094588
493	2007	494.74645243890365	1094.9252906416286	441.71736447590143	1141.2809524803884
493	2008	501.6771416937483	1148.014478505876	474.67408631727386	1214.7734218268736
493	2009	534.4015362972355	1210.6775992516136	477.6612595157608	1225.8780880712757
493	2010	495.5033265602246	1220.037838301263	485.466074345968	1218.338787756127
493	2011	478.02079314966454	1211.7092198255625	479.9741017336097	1195.8255329320834
493	2012	499.53978587262066	1224.0893014442256	486.2415049303934	1221.7821361373383
493	2013	495.8615293349838	1229.2774754086372	481.13496139858813	1205.3810629929303
493	2014	553.7975038968561	1281.0162368531383	490.46418344061817	1251.4324111027154
493	2015	594.073014352307	1349.071669862348	517.3862185282043	1326.9349058854796
493	2016	700.2224284814183	1482.8998036427474	558.535977514582	1462.325625686239
493	2017	705.3191121552055	1576.3657958911697	611.8531199067834	1576.3657958911697
493	2018	686.2622647626835	1622.795751229683	650.7370733557078	1650.4533176195196
493	2019	700.0846327153886	1665.2676947492794	695.481090281971	1761.1615636126373
493	2020	777.744791326629	1758.299122605044	700.4876413769309	1798.8064362952123
493	2021	836.2242607998955	1869.052965736609	757.1306705455106	1950.6203020399316
493	2022	1064.2235489605491	2132.8882679581975	851.3900367747273	2268.798708991486
493	2023	1119.892072084013	2355.1689053754762	948.0067999175697	2487.3971643190284
4A0	1997	3293.8032418161024	9881.409725448308	0.0	8494.935888726663
4A0	1998	3450.216242063938	9462.786685352155	3456.8879314175865	8455.195655454803
4A0	1999	3596.84402042147	9305.89447391933	3466.527133945042	8593.873865115713
4A0	2000	3646.612433923553	9242.77334421585	3735.1752571786387	9306.161132841984
4A0	2001	3589.1214388777676	9152.78342854204	3911.0892972519073	9729.89123124774
4A0	2002	3447.551137827457	8974.814900550908	3771.7844998719306	9336.887081392919
4A0	2003	3533.2032090661996	8927.545941255772	3773.5095390951346	9408.865140112703
4A0	2004	3495.6310175184417	8864.72314210255	3740.5774061861084	9318.424463481944
4A0	2005	3670.027448599261	8968.171635234417	3733.6142322079336	9388.1822531549
4A0	2006	4042.2191527470054	9347.297050778783	3836.2020192531127	9789.025996408069
4A0	2007	4137.709901622032	9679.622951870882	3966.4918819560894	10089.427467410642
4A0	2008	4371.246788108268	10095.787624670815	4185.076690907595	10682.87439616642
4A0	2009	3910.3978418845986	9989.189951351043	4067.4303258056757	10114.607791961007
4A0	2010	3754.929879837213	9788.56820076504	3950.0430454080642	9774.936433277591
4A0	2011	3640.7663711058767	9559.684109764925	3818.9251599281756	9434.37101755132
4A0	2012	3889.3074723891386	9614.212300167565	3827.551484383389	9596.091418753254
4A0	2013	4074.6721796384195	9805.03501647706	3808.3497731508564	9614.431051797488
4A0	2014	4116.680143643171	9967.256797354017	3863.133987808437	9737.072682727183
4A0	2015	4291.085917941606	10220.742796520684	3971.347399778626	10053.031787528891
4A0	2016	4451.119177346371	10523.094512135765	4091.2062699042017	10377.094075279549
4A0	2017	4485.0954530967365	10752.975885671125	4255.214079561378	10752.975885671125
4A0	2018	4305.920537510872	10756.917705039812	4375.298026449793	10940.24956633641
4A0	2019	4687.230463850192	11077.30385656837	4618.307543820592	11715.186598622804
4A0	2020	5880.065845264609	12284.924108766088	4780.0883808641065	12567.941524936114
4A0	2021	5458.189916692958	12738.441003088192	5223.081946562583	13294.359278453618
4A0	2022	5064.7786600598765	12712.942885442028	5414.635897793385	13523.028298891963
4A0	2023	5809.143988845963	13316.248580999654	5498.114117876572	14063.87409588578
511	1997	3351.781707976979	10055.345123930938	0.0	8644.4661784266
511	1998	3867.251204211653	9926.272752797004	3570.797784584758	8869.330044628945
511	1999	4428.407768251326	10307.854975407443	3737.191345854428	9519.171502193944
511	2000	4735.80496135344	10818.407451399496	4254.229655033275	10892.601083468799
511	2001	4495.809555698143	10958.779597348117	4630.059543331803	11649.760353435893
511	2002	4646.048431790664	11177.560091390966	4605.877811617624	11628.497921711469
511	2003	4863.18078011454	11504.357377689428	4780.95781281916	12124.602640254205
511	2004	4705.897340138611	11591.152701908462	4855.510153502076	12184.394161665872
511	2005	4928.549113012525	11834.559395449414	4904.563907226841	12388.81290515819
511	2006	5105.5065152312145	12144.295026325624	5022.4065422053445	12718.20282108677
511	2007	5684.198773102991	12833.028995136243	5206.956929987546	13376.338714575577
511	2008	5631.814973505545	13248.531808012118	5519.649352273221	14018.955875493062
511	2009	5948.529856931094	13789.462752783991	5475.493244107136	13962.594373070358
511	2010	5872.738635708443	14086.924031613033	5567.513107497041	14067.306282717205
511	2011	6737.19909817054	15005.615269550806	5742.235966343498	14808.914204075818
511	2012	7319.82565743356	16103.598227561839	6210.115761196631	16073.246142053986
511	2013	8138.926325131056	17518.170755983774	6593.636416158512	17177.628086384622
511	2014	9299.4767103031	19428.34442924177	7218.654260569004	18979.665685226926
511	2015	10461.957555203933	21670.527582164457	8084.897056658107	21314.938353617734
511	2016	11129.407931776992	23721.524997923803	8952.45404002382	23392.405744210133
511	2017	11942.053686584117	25766.061404102635	9897.517280405287	25766.061404102635
511	2018	12850.151614272345	27885.833947962048	10913.258629533777	28361.096656264865
511	2019	13968.510235968266	30230.981161948253	12292.690393728719	31971.821840173852
511	2020	16695.979315556233	34067.3035375957	13155.91492634347	34852.13868494596
511	2021	20583.493124941207	39864.446629181475	15431.6411021369	41604.17085549135
511	2022	9009.249430803171	34084.0056117903	15732.10894322604	36255.88320353778
511	2023	14602.471228337885	34891.396431475114	14569.589387715749	36850.33389524385
512	1997	428.6087530857089	1285.8262592571268	0.0	1105.4102541967975
512	1998	435.5290246688914	1220.158360062161	447.8298194907787	1090.2367355415565
512	1999	422.3921753776674	1165.4323861894968	440.61247469614773	1076.2618202154547
512	2000	545.795901429643	1231.7848419843672	482.73151282610996	1240.2325355811645
512	2001	574.6344243585411	1300.0519149550291	538.2951853416554	1382.0237118297803
512	2002	825.7741219673111	1554.8463782761123	594.0147688421807	1617.573757647711
512	2003	843.4321229510738	1739.424354643303	694.3755711818632	1833.2035793438126
512	2004	545.8015922900921	1614.4508966706123	705.1056798576484	1697.079366097112
512	2005	502.5579930453603	1495.0989253182088	651.0361674926476	1565.119599432876
512	2006	772.5722742983419	1640.5428454607577	656.7648089673355	1718.0706331675442
512	2007	708.2946834958314	1683.9407998870315	693.0463463940276	1755.2335090273148
512	2008	770.0215839341303	1764.3118532031297	729.7548512053002	1866.9095096036356
512	2009	584.4765808901503	1663.2717195438786	694.1236212615114	1684.1546888766022
512	2010	681.1394384600907	1676.4640117459949	667.0169489088893	1674.1293324404546
512	2011	761.1399057895017	1751.9259293219147	676.6897802373289	1728.9608132143367
512	2012	874.4799237159845	1896.6838893112636	728.3465827014135	1893.1090167407835
512	2013	698.1743854067956	1846.2679140465057	734.0382157352906	1810.3775797757373
512	2014	839.9848181001711	1930.832624447813	737.9744140444037	1886.2419203867805
512	2015	1056.2045424003231	2167.392201632145	806.1955039715295	2131.8277088889745
512	2016	1054.1593440552042	2323.3942544674337	885.6959988944997	2291.1588150013845
512	2017	1241.8521514983318	2583.8062958935657	981.4401100721998	2583.8062958935657
512	2018	1255.6650677149185	2768.9250870248093	1088.7917672411215	2816.1163181855036
512	2019	1142.3504451489623	2797.908762307342	1177.479613322789	2959.0253784467886
512	2020	1003.4421355132536	2701.474287799273	1125.2153287238632	2763.7102663054116
512	2021	2020.8198203732004	3484.999375510516	1291.291509326654	3637.0882254736875
512	2022	1494.5628440051537	3568.801953677972	1500.6557623822912	3796.2107001985564
512	2023	1488.6772817754209	3619.765703931499	1518.4323099920175	3822.993300781134
513	1997	2646.3690240171804	7939.107072051542	0.0	6825.160322734672
513	1998	2861.348745073109	7677.195335595286	2790.6978496258903	6859.732846782169
513	1999	3277.6350538579345	7849.492768611804	2867.7393556204865	7248.905620802393
513	2000	3446.944268576023	8105.448736221222	3212.872391855485	8161.036648212279
513	2001	3442.126469887975	8272.071215720794	3482.033394848257	8793.647726341907
513	2002	3741.356205621274	8632.51098183159	3517.3132122643106	8980.77354902309
513	2003	4009.967627313153	9096.647010648689	3737.0013595367523	9587.083114843505
513	2004	3876.67813212164	9294.996450533827	3866.587542669097	9770.719392381252
513	2005	3590.8620095558013	9189.049308319052	3869.943560803177	9619.404394625111
513	2006	3429.599773094661	8984.03268312492	3806.378915373801	9408.594699615578
513	2007	3621.9225009519523	9007.623872876575	3750.673238883853	9388.978080136796
513	2008	3695.02885298418	9084.273292737867	3828.7941900901515	9612.538830513691
513	2009	3769.4972002508275	9197.42986203427	3702.2472909240632	9312.906872490152
513	2010	3402.924513347346	8967.390335812303	3627.90469686853	8954.902158019617
513	2011	3580.528999490857	8962.03439011725	3538.8793824869867	8844.555587569466
513	2012	3787.672898158828	9131.083675210524	3611.803225983584	9113.87339533562
513	2013	4299.98261986338	9670.707966693168	3687.2592313555097	9482.7152388128
513	2014	4722.392062403361	10382.46536313158	3918.0129538483407	10142.692409966507
513	2015	4713.089692750391	10849.218319379714	4176.659078745314	10671.194726834676
513	2016	5031.449010131435	11425.686388029339	4393.171255852516	11267.163132145757
513	2017	5458.998388667593	12166.289582575886	4718.395194121044	12166.289582575886
513	2018	5426.338163631997	12632.80819141059	5044.350549233575	12848.11115296891
513	2019	5032.917001120069	12615.969628540452	5340.544005615622	13342.455911171131
513	2020	4733.508286903706	12355.236658113392	5109.297503821611	12639.873919539636
513	2021	4644.763824958503	12107.460959541015	5106.054829950174	12635.842636235244
