industry	account	line	level	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
    Wholesale trade	42	34	1	6250.843578298944	6954.450114998292	7452.050407653825	8555.703181668652	9021.368362487856	9136.04603250728	9527.46725287614	10326.822087549725	10953.626452294995	11928.956418949037	13970.010751593609	14081.810807577851	12859.863198216406	12866.367040881312	14322.132792807011	15251.555831750886	15758.178143455938	16377.631247872632	17161.17506462022	17720.758606717034	19147.334122530705	20022.904332053055	21707.998831311725	21507.490594141986	23934.743417338737	26802.59595257205	28892.34892432993
    Retail trade	44RT	35	1	4818.85704794734	5246.38233247397	5635.007779400421	6126.2985895671345	6481.345958969225	6245.397268854372	6527.753561581044	6725.553490194028	7222.245587454323	7566.076401303273	7644.117984835821	7925.021576746685	7004.880180473492	6866.236326171058	6848.103706290676	7180.973984249851	7358.627102038268	7416.384265143485	7855.256471607428	8109.777480000766	8382.834281522377	8294.757446792992	8769.100174620971	9532.019665601825	9878.2948993895	10601.562623063202	11803.351378081843
        Motor vehicle and parts dealers	441	36	2	1131.5187931721318	1231.8817479112934	1335.688227783416	1453.8197669543006	1583.8936759386947	1741.3860625160598	1886.8887883196514	2017.5987805561674	2200.5670876613763	2174.9940239114217	2181.8688921931316	2051.497533410994	1786.852132854279	1891.0246334226983	2052.061074327563	2137.6398832927016	2169.8967413932305	2177.0579279460726	2294.414866279587	2357.4197151490544	2571.2759101373026	2689.0064266034165	2741.4327090745383	2578.476390325974	3411.650729278311	3932.9004673047334	4164.530656239365
        Food and beverage stores	445	37	2	589.8498323110169	642.2229037779665	671.285562792172	658.552250537509	711.9033682308684	579.5351703140093	596.0022832870661	671.5017755373098	742.634317187975	719.0781857784864	735.6514592681502	754.6954969649493	722.9119742647416	710.475958838808	693.271918679331	706.3067299943752	734.2489505560892	771.2803193364439	867.6992046816067	843.6989347606295	799.3704202227077	736.6998085575278	684.1797236681775	649.0574928924278	577.3330242349597	808.9237804191619	792.4891932547786
        General merchandise stores	452	38	2	265.8431262219705	289.43809554545294	306.39479437357676	342.3053351059155	370.12364131181283	337.83987272618896	321.1703661294625	361.9136318810996	437.1366051269103	438.76027580967605	413.7102263776141	493.3865176682876	535.6217926551632	515.0350489866287	509.72931789384324	455.0504709898211	459.01839909740283	446.43660364035264	472.4684247029561	519.295759148793	527.0924980656301	489.7441847584035	386.344719915021	288.95625596762864	192.92037521933005	472.2253687289255	711.0398083224295
        Other retail	4A0	39	2	2831.6452962422204	3082.8395852392573	3321.639194451256	3671.621236969409	3815.425273487849	3586.636163298114	3723.692123844864	3674.539302219451	3841.907577478062	4233.243915803689	4312.887406996924	4625.442028702455	3959.494280699309	3749.700684922923	3593.0413953899383	3881.9768999729536	3995.463010991545	4021.609414220616	4220.673975943278	4389.36307094229	4485.0954530967365	4379.307026873644	4957.143021963235	6015.529526415795	5696.390770656901	5387.513006610381	6135.291720265271
    Transportation and warehousing	48TW	40	1	1893.1780353324646	2087.4362721241464	2254.78333449827	2743.374819122344	3061.9814476859838	3061.604851466126	3227.102945102857	3432.4530449072518	3522.4059515594886	3614.8418890330768	4103.283349982762	4039.4080827849866	4147.06391700913	4028.320664329167	4182.645321613536	4624.485178194206	5035.614238175953	5304.279571357917	5437.73821929795	5704.024328706246	6072.098175523865	6480.282069885334	7215.034107735311	6992.610639651579	7003.751975448967	9030.851586970024	10003.015043611915
        Air transportation	481	41	2	198.87365741235712	228.26832525207476	260.4593808004043	364.64996549529394	503.6525187138629	619.6430584952594	639.4446088713809	529.3479037253477	562.9651021211886	538.1091443054786	709.1066390141017	777.2352158083897	723.7398955678714	731.175026656548	830.7601821564873	1034.4078799334306	1142.5910205361151	1087.7628869260548	842.6780047901057	840.0950045177495	928.8502977271559	1233.7742004419556	1430.189328651532	1101.4020424175765	829.4266490320213	1234.5872654553082	1914.5078864380944
        Rail transportation	482	42	2	70.64313131593673	77.80008935953192	83.03395997272055	95.28013002087754	114.26771496907699	85.71008431126916	120.57093812940909	100.40980526526789	113.91082492363856	143.08230496731423	183.42409779299925	247.96946981611387	207.77326047133016	212.82152338421818	228.5246885274327	273.3773233520962	243.34673726501805	268.43229294441915	249.89323708996397	229.97297613139872	272.456739154345	311.77914194170216	311.6824020981434	414.6199875817139	340.2485345796246	416.94483002477773	379.7934155716769
        Water transportation	483	43	2	30.504288767592463	30.364854204591	33.19915808396379	39.03688195252467	49.563773849753645	93.65389829481246	95.05476307829066	113.16346772194517	84.54729555885238	92.91157563414811	93.03272296913727	144.1257474898931	135.69810235625621	134.88294039983714	134.26020666843786	123.92969368716052	142.7509396957887	168.36168918013553	163.17406331090348	142.3017353944603	112.34998854949184	121.81258734746038	154.7060750677442	177.98121461176677	144.4914236761656	217.05289511095148	255.33495272543485
