account	year	value
452	2014	93241
452	2015	96616
452	2016	97905
452	2017	98991
452	2018	101976
452	2019	103008
452	2020	102770
452	2021	112018
452	2022	122266
452	2023	124848
481	1988	14813
481	1989	19554
481	1990	21495
481	1991	23595
481	1992	24383
481	1993	26137
481	1994	26914
481	1995	28120
481	1996	28591
481	1997	29767
481	1998	33337
481	1999	36976
481	2000	39611
481	2001	41791
481	2002	40779
481	2003	38870
481	2004	38399
481	2005	36534
481	2006	36857
481	2007	39908
481	2008	38372
481	2009	35250
481	2010	36816
481	2011	39237
481	2012	40570
481	2013	43078
481	2014	44412
481	2015	48445
481	2016	53400
481	2017	57095
481	2018	60234
481	2019	62917
481	2020	45436
481	2021	44139
481	2022	65988
481	2023	78983
482	1988	17071
482	1989	15522
482	1990	15264
482	1991	14936
482	1992	15088
482	1993	15753
482	1994	15330
482	1995	15170
482	1996	15082
482	1997	15275
482	1998	16414
482	1999	17029
482	2000	16656
482	2001	16406
482	2002	16059
482	2003	16362
482	2004	16982
482	2005	17904
482	2006	18707
482	2007	19287
482	2008	20420
482	2009	18831
482	2010	18460
482	2011	20592
482	2012	22308
482	2013	21618
482	2014	23162
482	2015	24226
482	2016	21943
482	2017	21893
482	2018	23200
482	2019	23009
482	2020	20201
482	2021	19937
482	2022	21747
482	2023	23335
483	1988	2695
483	1989	2643
483	1990	2691
483	1991	2906
483	1992	3043
483	1993	3104
483	1994	3121
483	1995	3089
483	1996	3042
483	1997	3131
483	1998	3041
483	1999	3232
483	2000	3265
483	2001	3584
483	2002	3697
483	2003	3811
483	2004	4188
483	2005	4666
483	2006	5090
483	2007	5752
483	2008	6080
483	2009	5890
483	2010	5999
483	2011	6333
483	2012	6554
483	2013	6866
483	2014	7142
483	2015	7322
483	2016	7056
483	2017	7144
483	2018	7364
483	2019	7743
483	2020	7084
483	2021	7013
483	2022	8362
483	2023	9218
484	1988	39930
484	1989	39183
484	1990	40869
484	1991	42324
484	1992	43554
484	1993	46742
484	1994	48528
484	1995	53376
484	1996	55114
484	1997	60150
484	1998	65049
484	1999	70600
484	2000	72615
484	2001	73176
484	2002	74711
484	2003	74878
484	2004	80383
484	2005	86202
484	2006	90514
484	2007	93512
484	2008	89687
484	2009	81094
484	2010	80266
484	2011	86053
484	2012	91476
484	2013	94377
484	2014	100297
484	2015	106185
484	2016	106967
484	2017	110730
484	2018	119063
484	2019	130056
484	2020	123385
484	2021	139934
484	2022	156117
484	2023	154730
485	1988	6222
485	1989	7326
485	1990	7384
485	1991	8078
485	1992	8473
485	1993	8989
485	1994	10025
485	1995	10276
485	1996	10060
485	1997	10695
485	1998	10905
485	1999	12255
485	2000	12344
485	2001	13212
485	2002	13568
485	2003	13786
485	2004	14687
485	2005	15650
485	2006	17121
485	2007	17609
485	2008	17992
485	2009	18193
485	2010	19055
485	2011	19889
485	2012	20189
485	2013	20622
485	2014	22036
485	2015	24268
485	2016	27162
485	2017	30160
485	2018	35513
485	2019	48478
485	2020	29863
485	2021	33892
485	2022	46765
485	2023	52846
486	1988	2756
486	1989	2807
486	1990	2896
486	1991	2965
486	1992	3068
486	1993	3358
486	1994	3445
486	1995	3459
486	1996	3204
486	1997	3507
486	1998	3562
486	1999	3844
486	2000	4916
486	2001	4883
486	2002	3782
486	2003	3722
486	2004	3720
486	2005	3767
486	2006	4233
486	2007	4733
486	2008	4776
486	2009	4909
486	2010	5301
486	2011	5733
486	2012	6754
486	2013	6169
