component	lightcast
41-2011	0.021626839379182018
41-2012	0.03648648648648649
41-2021	0.008713761166219105
41-2022	0.16823046749019344
41-2031	0.024154810598457817
41-3011	0.02666655379748366
41-3021	0.025933429966391985
41-3031	0.025808469668846097
41-3041	0.03946190570917048
41-3091	0.03724247600532271
41-4011	0.05787572554062549
41-4012	0.03561267536544688
41-9011	0.008486060918946825
41-9012	0.010498687664041995
41-9021	0.026152882338575236
41-9022	0.07195284833780588
41-9031	0.14673635767312557
41-9041	0.04754609471590604
41-9091	0.1571683337210204
43-1011	0.14530791326031375
43-2011	0.10852999016715831
43-2021	0.05891472868217054
43-3011	0.15324147431561325
43-3021	0.38777572105988983
43-3031	0.2919972296791202
43-3041	0.11087539079946404
43-3051	0.30873630777451244
43-3061	0.18097829738627966
43-3071	0.03454496327009842
43-4011	0.42686804451510335
43-4021	0.302707136997539
43-4031	0.3120595144870791
43-4041	0.2685471406491499
43-4051	0.15171853852536663
43-4061	0.2906906906906907
43-4071	0.47875803804450184
43-4081	0.07756572365495776
43-4111	0.1759415401911186
43-4121	0.09205020920502092
43-4131	0.1462372242763352
43-4141	0.09473342520985432
43-4151	0.20626859449318755
43-4161	0.2554965649678062
43-4171	0.1740753111901006
43-4181	0.08844674803544558
43-5011	0.054808475957620215
43-5021	0.04637010211129571
43-5031	0.13528539659006672
43-5032	0.1937124532025423
43-5041	0.18412751120703968
43-5051	0.03392609408500442
43-5052	0.0912280701754386
43-5053	0.05970149253731343
43-5061	0.17041242487954947
43-5071	0.1552621032697098
43-5111	0.7147796024200519
43-6011	0.1820782329261853
43-6012	0.30475656829784586
43-6013	0.33239645212496116
43-6014	0.257129971771492
43-9021	0.972021462060561
43-9022	0.2234932945548554
43-9031	0.1620045427571671
43-9041	0.24216555325041442
43-9051	0.16713716974303294
43-9061	0.2524076787176283
43-9071	0.025420199878861297
43-9081	0.03917050691244239
43-9111	0.23582124982690747
45-1011	0.04984245201947866
45-2011	0.13793103448275862
45-2021	0.8108108108108109
45-2041	0.0842754367934224
45-2091	0.13714285714285715
45-2092	0.03200859291084855
45-2093	0.14673752583407146
45-4011	0.032021347565043365
45-4021	0.002849002849002849
45-4022	0.015873015873015872
45-4023	0.2468553459119497
47-1011	0.02911657659644866
47-2011	0.0
47-2021	0.38245315161839866
47-2031	0.051006922251952636
47-2041	0.007343372374047221
47-2042	0.13725490196078433
47-2043	0.03153153153153153
47-2044	0.0038240917782026767
47-2051	0.003969778460750416
47-2053	0.0196078431372549
47-2061	0.010139746506337342
47-2071	0.004481434058898848
47-2072	0.10005512679162072
47-2073	0.0404656035980783
47-2081	0.0
47-2082	0.125
47-2111	0.01632649268467196
47-2121	0.03865814696485623
47-2131	0.0032679738562091504
47-2132	0.0
47-2141	0.014942528735632184
47-2151	0.0013698630136986301
47-2152	0.044916917802538085
47-2161	0.0
47-2171	0.03297997644287397
47-2181	0.00399800099950025
47-2211	0.03548601864181092
47-2221	0.033368458025992274
47-2231 | 47-4091 | 47-4099	0.028991146998735284
47-3011	0.004975124378109453
47-3012	0.007617931438617052
47-3013	0.004785547646108752
47-3014	0.0
47-3015	0.0
47-3016	0.0
47-4011	0.6366007767665642
47-4021	0.1339850488786659
47-4031	0.0021231422505307855
47-4041	0.060866574965612104
47-4051	0.013479957431713374
47-4061	0.04429507066528783
47-4071	0.0256260920209668
47-5012	0.042134831460674156
47-5013	0.04678007290400972
47-5022	0.006051437216338881
47-5041	0.10413476263399694
47-5043	0.007462686567164179
47-5044	0.025778210116731516
47-5051	0.03209876543209877
47-5071	0.0
47-5081	0.04186046511627907
49-1011	0.06546607482561827
49-2011	0.0732872731968748
49-2021	0.01679983609916001
49-2022	0.07719773680259279
49-2091	0.03493745069311394
49-2092	0.12449255751014884
49-2093	0.03422872038989006
49-2094	0.019537233613716374
49-2095	0.24175824175824176
49-2096	0.07058823529411765
49-2097	0.004106725685478913
49-2098	0.019098548510313215
49-3011	0.07594035734491632
49-3021	0.0033151845130066546
49-3022	0.02076209086468002
49-3023	0.04013717122553367
49-3031	0.11426016597057893
49-3041	0.08067669960543315
49-3042	0.05027253003122189
49-3043	0.007641921397379912
49-3051	0.0
49-3052	0.010368919118734289
49-3053	0.01857525852163922
49-3091	0.00048567265662943174
49-3092	0.0017248814144027599
49-3093	0.010842226905037047
49-9011	0.01845522898154477
49-9012	0.07215541165587419
49-9021	0.015979866345766192
49-9031	0.0025031289111389237
49-9041	0.06766441821247893
49-9043	0.04291984167586634
49-9044	0.008540282149935874
49-9045	0.8571428571428571
49-9051	0.016739203213927016
49-9052	0.0218408736349454
49-9061	0.9707455174583203
49-9062	0.2908704883227176
49-9063	0.058823529411764705
49-9064	0.014150943396226415
49-9071	0.03773696447448356
