%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
e1n33301ip00,"Machinery","Year","Level",0,FAAt309I:20,NONE
e1n33301st00,"Machinery","Year","Level",0,FAAt309S:20,NONE
e1n33401eq00,"Computer and electronic products","Year","Level",0,FAAt309E:21,NONE
e1n33401es00,"Computer and electronic products","Year","Level",0,FAAt309ESI:21,NONE
e1n33401ip00,"Computer and electronic products","Year","Level",0,FAAt309I:21,NONE
e1n33401st00,"Computer and electronic products","Year","Level",0,FAAt309S:21,NONE
e1n33501eq00,"Electrical equipment, appliances, and components","Year","Level",0,FAAt309E:22,NONE
e1n33501es00,"Electrical equipment, appliances, and components","Year","Level",0,FAAt309ESI:22,NONE
e1n33501ip00,"Electrical equipment, appliances, and components","Year","Level",0,FAAt309I:22,NONE
e1n33501st00,"Electrical equipment, appliances, and components","Year","Level",0,FAAt309S:22,NONE
e1n336m1eq00,"Motor vehicles, bodies and trailers, and parts","Year","Level",0,FAAt309E:23,NONE
e1n336m1es00,"Motor vehicles, bodies and trailers, and parts","Year","Level",0,FAAt309ESI:23,NONE
e1n336m1ip00,"Motor vehicles, bodies and trailers, and parts","Year","Level",0,FAAt309I:23,NONE
e1n336m1st00,"Motor vehicles, bodies and trailers, and parts","Year","Level",0,FAAt309S:23,NONE
e1n336o1eq00,"Other transportation equipment","Year","Level",0,FAAt309E:24,NONE
e1n336o1es00,"Other transportation equipment","Year","Level",0,FAAt309ESI:24,NONE
e1n336o1ip00,"Other transportation equipment","Year","Level",0,FAAt309I:24,NONE
e1n336o1st00,"Other transportation equipment","Year","Level",0,FAAt309S:24,NONE
e1n33701eq00,"Furniture and related products","Year","Level",0,FAAt309E:25,NONE
e1n33701es00,"Furniture and related products","Year","Level",0,FAAt309ESI:25,NONE
e1n33701ip00,"Furniture and related products","Year","Level",0,FAAt309I:25,NONE
e1n33701st00,"Furniture and related products","Year","Level",0,FAAt309S:25,NONE
e1n33801eq00,"Medical equipment and supplies","Year","Level",0,FAAt309E:27,NONE
e1n33801es00,"Medical equipment and supplies","Year","Level",0,FAAt309ESI:27,NONE
e1n33801ip00,"Medical equipment and supplies","Year","Level",0,FAAt309I:27,NONE
e1n33801st00,"Medical equipment and supplies","Year","Level",0,FAAt309S:27,NONE
e1n338a1eq00,"Miscellaneous manufacturing","Year","Level",0,FAAt309E:26,NONE
e1n338a1es00,"Miscellaneous manufacturing","Year","Level",0,FAAt309ESI:26,NONE
e1n338a1ip00,"Miscellaneous manufacturing","Year","Level",0,FAAt309I:26,NONE
e1n338a1st00,"Miscellaneous manufacturing","Year","Level",0,FAAt309S:26,NONE
e1n33901eq00,"Other manufacturing","Year","Level",0,FAAt309E:28,NONE
e1n33901es00,"Other manufacturing","Year","Level",0,FAAt309ESI:28,NONE
e1n33901ip00,"Other manufacturing","Year","Level",0,FAAt309I:28,NONE
e1n33901st00,"Other manufacturing","Year","Level",0,FAAt309S:28,NONE
e1n33dg1eq00,"Durable goods","Year","Level",0,FAAt309E:15,NONE
e1n33dg1es00,"Durable goods","Year","Level",0,FAAt309ESI:15,NONE
e1n33dg1ip00,"Durable goods","Year","Level",0,FAAt309I:15,NONE
e1n33dg1st00,"Durable goods","Year","Level",0,FAAt309S:15,NONE
e1n42001eq00,"Wholesale trade","Year","Level",0,FAAt309E:40,NONE
e1n42001es00,"Wholesale trade","Year","Level",0,FAAt309ESI:40,NONE
e1n42001ip00,"Wholesale trade","Year","Level",0,FAAt309I:40,NONE
e1n42001st00,"Wholesale trade","Year","Level",0,FAAt309S:40,NONE
e1n42101eq00,"Durable goods","Year","Level",0,FAAt309E:41,NONE
e1n42101es00,"Durable goods","Year","Level",0,FAAt309ESI:41,NONE
e1n42101ip00,"Durable goods","Year","Level",0,FAAt309I:41,NONE
e1n42101st00,"Durable goods","Year","Level",0,FAAt309S:41,NONE
e1n42201eq00,"Nondurable goods","Year","Level",0,FAAt309E:42,NONE
e1n42201es00,"Nondurable goods","Year","Level",0,FAAt309ESI:42,NONE
e1n42201ip00,"Nondurable goods","Year","Level",0,FAAt309I:42,NONE
e1n42201st00,"Nondurable goods","Year","Level",0,FAAt309S:42,NONE
e1n44101eq00,"Motor vehicle and parts dealers","Year","Level",0,FAAt309E:44,NONE
e1n44101es00,"Motor vehicle and parts dealers","Year","Level",0,FAAt309ESI:44,NONE
e1n44101ip00,"Motor vehicle and parts dealers","Year","Level",0,FAAt309I:44,NONE
e1n44101st00,"Motor vehicle and parts dealers","Year","Level",0,FAAt309S:44,NONE
e1n442R1eq00,"Other retail","Year","Level",0,FAAt309E:47,NONE
e1n442R1es00,"Other retail","Year","Level",0,FAAt309ESI:47,NONE
e1n442R1ip00,"Other retail","Year","Level",0,FAAt309I:47,NONE
e1n442R1st00,"Other retail","Year","Level",0,FAAt309S:47,NONE
e1n44501eq00,"Food and beverage stores","Year","Level",0,FAAt309E:45,NONE
e1n44501es00,"Food and beverage stores","Year","Level",0,FAAt309ESI:45,NONE
e1n44501ip00,"Food and beverage stores","Year","Level",0,FAAt309I:45,NONE
e1n44501st00,"Food and beverage stores","Year","Level",0,FAAt309S:45,NONE
e1n44RT1eq00,"Retail trade","Year","Level",0,FAAt309E:43,NONE
e1n44RT1es00,"Retail trade","Year","Level",0,FAAt309ESI:43,NONE
e1n44RT1ip00,"Retail trade","Year","Level",0,FAAt309I:43,NONE
e1n44RT1st00,"Retail trade","Year","Level",0,FAAt309S:43,NONE
e1n45201eq00,"General merchandise stores","Year","Level",0,FAAt309E:46,NONE
e1n45201es00,"General merchandise stores","Year","Level",0,FAAt309ESI:46,NONE
e1n45201ip00,"General merchandise stores","Year","Level",0,FAAt309I:46,NONE
e1n45201st00,"General merchandise stores","Year","Level",0,FAAt309S:46,NONE
e1n48001eq00,"Transportation and warehousing","Year","Level",0,FAAt309E:48,NONE
e1n48001es00,"Transportation and warehousing","Year","Level",0,FAAt309ESI:48,NONE
e1n48001ip00,"Transportation and warehousing","Year","Level",0,FAAt309I:48,NONE
e1n48001st00,"Transportation and warehousing","Year","Level",0,FAAt309S:48,NONE
e1n48101eq00,"Air transportation","Year","Level",0,FAAt309E:49,NONE
