%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
CB001046,"Fuel oil and other fuels","Quantity Contributions","Level",0,T20402:38,NONE
CB001057,"Motor vehicle fuels, lubricants, and fluids","Quantity Contributions","Level",0,T20402:37,NONE
CB001059,"Motor vehicle parts and accessories","Quantity Contributions","Level",0,T20402:7,NONE
CB001061,"New motor vehicles","Quantity Contributions","Level",0,T20402:5,NONE
CB001065,"Net purchases of used motor vehicles","Quantity Contributions","Level",0,T20402:6,NONE
CB001079,"Household utilities","Quantity Contributions","Level",0,T20402:55,NONE
CB001176,"PCE excluding food, energy, and housing","Quantity Contributions","Level",0,T20302:26|T20802:26,NONE
CB001177,"Housing","Quantity Contributions","Level",0,T20302:29|T20402:50|T20802:29,NONE
CB001178,"Accommodations","Quantity Contributions","Level",0,T20402:85,NONE
CB001179,"Air transportation","Quantity Contributions","Level",0,T20402:74,NONE
CB001180,"Alcoholic beverages purchased for off-premises consumption","Quantity Contributions","Level",0,T20402:28,NONE
CB001181,"Household appliances","Quantity Contributions","Level",0,T20402:10,NONE
CB001182,"Audio-video, photographic, and information processing equipment services","Quantity Contributions","Level",0,T20402:78,NONE
CB001183,"Children's and infants' clothing","Quantity Contributions","Level",0,T20402:34,NONE
CB001184,"Communication","Quantity Contributions","Level",0,T20402:96,NONE
CB001185,"Dental services","Quantity Contributions","Level",0,T20402:63,NONE
CB001186,"Educational books","Quantity Contributions","Level",0,T20402:22,NONE
CB001187,"Electricity","Quantity Contributions","Level",0,T20402:58,NONE
CB001188,"Less: Expenditures in the United States by nonresidents","Quantity Contributions","Level",0,T20402:110,NONE
CB001189,"Rental value of farm dwellings","Quantity Contributions","Level",0,T20402:53,NONE
CB001190,"Food produced and consumed on farms","Quantity Contributions","Level",0,T20402:29,NONE
CB001191,"Furniture and furnishings","Quantity Contributions","Level",0,T20402:9,NONE
CB001192,"Net household insurance","Quantity Contributions","Level",0,T20402:92,NONE
CB001193,"Financial services","Quantity Contributions","Level",0,T20402:87,NONE
CB001194,"Food furnished to employees (including military)","Quantity Contributions","Level",0,T20402:84,NONE
CB001195,"Net foreign travel","Quantity Contributions","Level",0,T20402:108,NONE
CB001196,"Food services","Quantity Contributions","Level",0,T20402:82,NONE
CB001197,"Foreign travel by U.S. residents","Quantity Contributions","Level",0,T20402:109,NONE
CB001198,"Gambling","Quantity Contributions","Level",0,T20402:79,NONE
CB001199,"Garments","Quantity Contributions","Level",0,T20402:31,NONE
CB001200,"Natural gas","Quantity Contributions","Level",0,T20402:59,NONE
CB001201,"Ground transportation","Quantity Contributions","Level",0,T20402:73,NONE
CB001202,"Group housing","Quantity Contributions","Level",0,T20402:54,NONE
CB001203,"Higher education","Quantity Contributions","Level",0,T20402:101,NONE
CB001204,"Household maintenance","Quantity Contributions","Level",0,T20402:107,NONE
CB001205,"Net health insurance","Quantity Contributions","Level",0,T20402:93,NONE
CB001206,"Household supplies","Quantity Contributions","Level",0,T20402:42,NONE
CB001207,"Hospital and nursing home services","Quantity Contributions","Level",0,T20402:65,NONE
CB001208,"Hospitals","Quantity Contributions","Level",0,T20402:66,NONE
CB001209,"Financial services furnished without payment","Quantity Contributions","Level",0,T20402:88,NONE
CB001210,"Insurance","Quantity Contributions","Level",0,T20402:90,NONE
CB001211,"Internet access","Quantity Contributions","Level",0,T20402:99,NONE
CB001212,"Jewelry and watches","Quantity Contributions","Level",0,T20402:20,NONE
CB001213,"Life insurance","Quantity Contributions","Level",0,T20402:91,NONE
CB001214,"Luggage and similar personal items","Quantity Contributions","Level",0,T20402:23,NONE
CB001215,"Men's and boys' clothing","Quantity Contributions","Level",0,T20402:33,NONE
CB001216,"Musical instruments","Quantity Contributions","Level",0,T20402:18,NONE
CB001217,"Motor vehicle services","Quantity Contributions","Level",0,T20402:69,NONE
CB001218,"Nursery, elementary, and secondary schools","Quantity Contributions","Level",0,T20402:102,NONE
CB001219,"Magazines, newspapers, and stationery","Quantity Contributions","Level",0,T20402:45,NONE
CB001220,"Net expenditures abroad by U.S. residents","Quantity Contributions","Level",0,T20402:46,NONE
CB001221,"Nursing homes","Quantity Contributions","Level",0,T20402:67,NONE
CB001222,"Other clothing materials and footwear","Quantity Contributions","Level",0,T20402:35,NONE
CB001223,"Financial service charges, fees, and commissions","Quantity Contributions","Level",0,T20402:89,NONE
CB001224,"Personal care products","Quantity Contributions","Level",0,T20402:43,NONE
CB001225,"Other recreational services","Quantity Contributions","Level",0,T20402:80,NONE
CB001226,"Outpatient services","Quantity Contributions","Level",0,T20402:61,NONE
CB001227,"Other motor vehicle services","Quantity Contributions","Level",0,T20402:71,NONE
CB001228,"Imputed rental of owner-occupied nonfarm housing","Quantity Contributions","Level",0,T20402:52,NONE
CB001229,"Personal care and clothing services","Quantity Contributions","Level",0,T20402:105,NONE
CB001230,"Pharmaceutical and other medical products","Quantity Contributions","Level",0,T20402:40,NONE
CB001231,"Physician services","Quantity Contributions","Level",0,T20402:62,NONE
CB001232,"Purchased meals and beverages","Quantity Contributions","Level",0,T20402:83,NONE
CB001233,"Paramedical services","Quantity Contributions","Level",0,T20402:64,NONE
CB001234,"Professional and other services","Quantity Contributions","Level",0,T20402:104,NONE
CB001235,"Postal and delivery services","Quantity Contributions","Level",0,T20402:98,NONE
CB001236,"Public transportation","Quantity Contributions","Level",0,T20402:72,NONE
CB001237,"Recreational books","Quantity Contributions","Level",0,T20402:17,NONE
CB001238,"Recreational items","Quantity Contributions","Level",0,T20402:41,NONE
CB001239,"Membership clubs, sports centers, parks, theaters, and museums","Quantity Contributions","Level",0,T20402:77,NONE
CB001240,"Social services and religious activities","Quantity Contributions","Level",0,T20402:106,NONE
CB001241,"Sporting equipment, supplies, guns, and ammunition","Quantity Contributions","Level",0,T20402:15,NONE
CB001242,"Therapeutic appliances and equipment","Quantity Contributions","Level",0,T20402:21,NONE
CB001243,"Telephone and related communication equipment","Quantity Contributions","Level",0,T20402:24,NONE
CB001244,"Telecommunication services","Quantity Contributions","Level",0,T20402:97,NONE
CB001245,"Education services","Quantity Contributions","Level",0,T20402:100,NONE
CB001246,"Rental of tenant-occupied nonfarm housing","Quantity Contributions","Level",0,T20402:51,NONE
CB001247,"Food and nonalcoholic beverages purchased for off-premises consumption","Quantity Contributions","Level",0,T20402:27,NONE
CB001248,"Net motor vehicle and other transportation insurance","Quantity Contributions","Level",0,T20402:94,NONE
CB001249,"Tobacco","Quantity Contributions","Level",0,T20402:44,NONE
CB001250,"Tools and equipment for house and garden","Quantity Contributions","Level",0,T20402:12,NONE
CB001251,"Glassware, tableware, and household utensils","Quantity Contributions","Level",0,T20402:11,NONE
CB001253,"Video, audio, photographic, and information processing equipment and media","Quantity Contributions","Level",0,T20402:14,NONE
CB001254,"Commercial and vocational schools","Quantity Contributions","Level",0,T20402:103,NONE
CB001255,"Motor vehicle maintenance and repair","Quantity Contributions","Level",0,T20402:70,NONE
